plt_cn,tre_cn,ecosubcd,ecodivision,year,cycle,tpa_unadj,lat,long,network,park,parksubunit,state_name,statecd,countycd,spcd,jenkins_spgrpcd,scientific_name,usda_symbol,statuscd,treeclcd,dbhcm,ht,htcd,cull,habit,decaycd
BC_01,2163,1194,35,2022,1,10.11715,30.71359,-94.2127,GULN,BITH,Beech Creek,Texas,48,457,8345,8,Prunus caroliniana,PRCA,live,NA,13.3,NA,NA,0,Tree,NA
BC_01,2164,1194,35,2022,1,10.11715,30.71359,-94.2127,GULN,BITH,Beech Creek,Texas,48,457,591,8,Ilex opaca,ILOP,live,NA,11.5,NA,NA,0,Tree,NA
BC_01,2165,1194,35,2022,1,10.11715,30.71359,-94.2127,GULN,BITH,Beech Creek,Texas,48,457,531,9,Fagus grandifolia,FAGR,live,NA,21.7,14,1,0.25,Tree,NA
BC_01,2166,1194,35,2022,1,10.11715,30.71359,-94.2127,GULN,BITH,Beech Creek,Texas,48,457,591,8,Ilex opaca,ILOP,live,NA,15.1,NA,NA,0,Tree,NA
BC_01,2167,1194,35,2022,1,10.11715,30.71359,-94.2127,GULN,BITH,Beech Creek,Texas,48,457,591,8,Ilex opaca,ILOP,live,NA,11.7,NA,NA,0,Tree,NA
BC_01,2168,1194,35,2022,1,10.11715,30.71359,-94.2127,GULN,BITH,Beech Creek,Texas,48,457,701,8,Ostrya virginiana,OSVI,live,NA,10,NA,NA,0,Tree,NA
BC_01,2169,1194,35,2022,1,10.11715,30.71359,-94.2127,GULN,BITH,Beech Creek,Texas,48,457,802,9,Quercus alba,QUAL,live,NA,46.1,22,1,0,Tree,NA
BC_01,2170,1194,35,2022,1,10.11715,30.71359,-94.2127,GULN,BITH,Beech Creek,Texas,48,457,8345,8,Prunus caroliniana,PRCA,live,NA,10.5,NA,NA,0,Tree,NA
BC_01,2171,1194,35,2022,1,10.11715,30.71359,-94.2127,GULN,BITH,Beech Creek,Texas,48,457,591,8,Ilex opaca,ILOP,live,NA,19.3,NA,NA,0.1,Tree,NA
BC_01,2172,1194,35,2022,1,10.11715,30.71359,-94.2127,GULN,BITH,Beech Creek,Texas,48,457,802,9,Quercus alba,QUAL,live,NA,42.8,14,1,0,Tree,NA
BC_01,2173,1194,35,2022,1,10.11715,30.71359,-94.2127,GULN,BITH,Beech Creek,Texas,48,457,591,8,Ilex opaca,ILOP,live,NA,15.3,NA,NA,0,Tree,NA
BC_01,2174,1194,35,2022,1,10.11715,30.71359,-94.2127,GULN,BITH,Beech Creek,Texas,48,457,591,8,Ilex opaca,ILOP,live,NA,10.4,NA,NA,0,Tree,NA
BC_01,2175,1194,35,2022,1,10.11715,30.71359,-94.2127,GULN,BITH,Beech Creek,Texas,48,457,591,8,Ilex opaca,ILOP,live,NA,16.1,NA,NA,0,Tree,NA
BC_01,2176,1194,35,2022,1,10.11715,30.71359,-94.2127,GULN,BITH,Beech Creek,Texas,48,457,591,8,Ilex opaca,ILOP,live,NA,16.2,NA,NA,0.1,Tree,NA
BC_01,2177,1194,35,2022,1,10.11715,30.71359,-94.2127,GULN,BITH,Beech Creek,Texas,48,457,8345,8,Prunus caroliniana,PRCA,live,NA,10.4,NA,NA,0,Tree,NA
BC_01,2178,1194,35,2022,1,10.11715,30.71359,-94.2127,GULN,BITH,Beech Creek,Texas,48,457,8345,8,Prunus caroliniana,PRCA,live,NA,13.2,NA,NA,0,Tree,NA
BC_01,2534,1194,35,2022,1,10.11715,30.71359,-94.2127,GULN,BITH,Beech Creek,Texas,48,457,8345,8,Prunus caroliniana,PRCA,live,NA,10,NA,NA,0,Tree,NA
BC_01,18_44769,1194,35,2022,1,101.171362,30.71359,-94.2127,GULN,BITH,Beech Creek,Texas,48,457,8449,9,Quercus hemisphaerica,QUHE2,live,NA,1.75,NA,NA,0,Sapling,NA
